"id","nama_agency","pagu","hps","harga_penawaran","nama_pemenang","pemenang_2","harga_penawaran_2",cluster
6055011,'LPSE Kementerian Keuangan Papua Barat',652000000,652000000,525000000,'Putera Karya Perkasa','CV. REIHAN JAYA PRATAMA',539758000,C0
6055011,'LPSE Kementerian Keuangan Papua Barat',652000000,652000000,525000000,'Putera Karya Perkasa','PAPUA SUMBER REJEKI',528000000,C0
6056011,'LPSE Kementerian Keuangan Papua Barat',164000000,164000000,133875000,'CV. JAYATRI NUGRAHA','Putera Karya Perkasa',140000000,C0
6057011,'Lembaga Sandi Negara',1428000000,1268818000,972914000,'ANGGADITA TEGUH PUTRA','CV. DHARMA HUTAMA KARYA',1015631000,C0
6062011,'Kejaksaan Agung R.I.',808687,803060,777077,'PT. Bangun Bumi Persada','PT. BANGUN KHARISMA PRIMA',786593,C0
6062011,'Kejaksaan Agung R.I.',808687,803060,777077,'PT. Bangun Bumi Persada','PT. PADIMUN GOLDEN',786195,C0
6063011,'Kementerian BUMN',380000000,380000000,353510438,'Rajawali Lintas Technology','PT. VivaStor Techno Logica',360000000,C0
6069011,'LPSE Kementerian Keuangan Kalimantan Selatan',427616,425767,289998,'PT. Karya Mega Kencana','CV. CAHAYA ABADI',308857,C0
6069011,'LPSE Kementerian Keuangan Kalimantan Selatan',427616,425767,289998,'PT. Karya Mega Kencana','Libs Dimensi Kreasindo',305964,C0
6069011,'LPSE Kementerian Keuangan Kalimantan Selatan',427616,425767,289998,'PT. Karya Mega Kencana','PT. MATAHARI ANEKA M.K.M',308613,C0
6075011,'Pengadilan Agama Jakarta Pusat',148520000,146000000,130769100,'PT. MUTIARA MURNI MANDIRI','CV Sembilan Benua',133133000,C0
6075011,'Pengadilan Agama Jakarta Pusat',148520000,146000000,130769100,'PT. MUTIARA MURNI MANDIRI','CV. Dokumindo Bangun Sejahtera',145759405,C0
6083011,'LPSE Kementerian Keuangan Jawa Timur',160500000,141306974,129191755,'CV. AGUNG JAYA ABADI','cv.cakra ningrat',139862250,C0
6083011,'LPSE Kementerian Keuangan Jawa Timur',160500000,141306974,129191755,'CV. AGUNG JAYA ABADI','PT. Gading Murni Malang',136521000,C0
6084011,'LPSE Kementerian Keuangan Nusa Tenggara Barat',200000000,187000000,186426900,'CV. Quadra Insan Makmur','ADA SOLUSI',184690000,C0
6086011,'LPSE Kementerian Keuangan Kalimantan Selatan',401836000,401803050,388465000,'CV. RAIH PANGESTU','CV. CAHAYA HATI',393930000,C0
6086011,'LPSE Kementerian Keuangan Kalimantan Selatan',401836000,401803050,388465000,'CV. RAIH PANGESTU','CV. Zulpratama',397869300,C0
6087011,'LPSE Kementerian Keuangan Kalimantan Selatan',280000000,272103000,271400000,'CV. CAHAYA HATI','CV. RAIH PANGESTU',271639500,C0
6087011,'LPSE Kementerian Keuangan Kalimantan Selatan',280000000,272103000,271400000,'CV. CAHAYA HATI','CV. Zulpratama',271700000,C0
6102011,'Direktorat Jenderal Pajak',1815875,1812146,1417350,'PT. MULTISOFT JAVA TECHNOLOGIES','PT. Arjuna Sinatria Amarta',1467928,C0
6102011,'Direktorat Jenderal Pajak',1815875,1812146,1417350,'PT. MULTISOFT JAVA TECHNOLOGIES','PT. TRINET PRIMA SOLUSI',1453430,C0
6103011,'Sekretariat Jenderal Kementerian Keuangan',237420,1894827000,1494240000,'PT. INIXINDO PERSADA REKAYASA KOMPUTER','Iverson Technology',1648894500,C0
6104011,'Komisi Pemberantasan Korupsi',520624412,520624412,498103100,'PT DAYA KARYA HUTAMA','Firmusindo Infotama',498364900,C0
6107011,'Badan Pendidikan dan Pelatihan Keuangan',116550000,115016550,82759500,'CV. DYNA MANDIRI','CV Reza Karya',103014450,C0
6107011,'Badan Pendidikan dan Pelatihan Keuangan',116550000,115016550,82759500,'CV. DYNA MANDIRI','CV. Artha Swan Jaya',113904450,C0
6108011,'Pusat Pendidikian dan Pelatihan Pegawai',1498950000,1498950000,928431000,'CV. CIPTA BOGA VIDI','CV Prima Karya Sejati',1097365000,C0
6108011,'Pusat Pendidikian dan Pelatihan Pegawai',1498950000,1498950000,928431000,'CV. CIPTA BOGA VIDI','CV. Dewi Catering Service',950610000,C0
6108011,'Pusat Pendidikian dan Pelatihan Pegawai',1498950000,1498950000,928431000,'CV. CIPTA BOGA VIDI','CV. SIDODADI KATERING',1109035000,C0
6108011,'Pusat Pendidikian dan Pelatihan Pegawai',1498950000,1498950000,928431000,'CV. CIPTA BOGA VIDI','CV. Susy Mandiri',1111895000,C0
6108011,'Pusat Pendidikian dan Pelatihan Pegawai',1498950000,1498950000,928431000,'CV. CIPTA BOGA VIDI','CV. Tulip Mitra Bersama',969510000,C0
6108011,'Pusat Pendidikian dan Pelatihan Pegawai',1498950000,1498950000,928431000,'CV. CIPTA BOGA VIDI','pt. rizky ikhtiar mandiri',1126312000,C0
6117011,'Direktorat Jenderal Bea dan Cukai',244970,244970,232870,'YUNIX CIPTA MANDIRI','PT. TRI UNITED',239800,C0
6119011,'LPSE Kementerian Keuangan Bengkulu',345000000,344133600,340688250,'CV.RENDY AGUNG PRATAMA','CV. ALINKA',342594900,C0
6119011,'LPSE Kementerian Keuangan Bengkulu',345000000,344133600,340688250,'CV.RENDY AGUNG PRATAMA','CV. YA ALTIF MULIA',343197000,C0
6124011,'LPSE Kementerian Keuangan Papua Barat',145700000,145700000,144430000,'CV. ARDIBRAMA','CV. AGUNG PERMAI',126219500,C0
6124011,'LPSE Kementerian Keuangan Papua Barat',145700000,145700000,144430000,'CV. ARDIBRAMA','cv. saliga jaya',133430000,C0
6126011,'LPSE Kementerian Keuangan Papua',786500000,730500000,580060000,'CV. REIHAN JAYA PRATAMA','EAST INDO JAYA',584400000,C0
6128011,'Komisi Yudisial',700000000,694676411,691265719,'ACCESS LINTAS SOLUSI','CV. RESIK KARYA UTAMA',694415700,C0
6131011,'Inspektorat Jenderal Kementerian Keuangan',407000000,407000000,331552100,'CV. RICHARDO JAYA','CV Sembilan Benua',346346000,C0
6131011,'Inspektorat Jenderal Kementerian Keuangan',407000000,407000000,331552100,'CV. RICHARDO JAYA','PT. INDOPUTRA MAS',336353600,C0
6132011,'Perpustakaan Nasional R.I.',1000000000,1000000000,980000000,'PT. Kenzie Adiwangsa','CV. DHARMA HUTAMA KARYA',999150000,C0
6132011,'Perpustakaan Nasional R.I.',1000000000,1000000000,980000000,'PT. Kenzie Adiwangsa','PT. Arista Prima Supertindo',994450000,C0
6133011,'Perpustakaan Nasional R.I.',1000000000,1000000000,980005400,'PT. Bumindo Konsultindo','CV. SENTRA MELINDO',988001190,C0
6133011,'Perpustakaan Nasional R.I.',1000000000,1000000000,980005400,'PT. Bumindo Konsultindo','OLIVIA INDAH',985000830,C0
6133011,'Perpustakaan Nasional R.I.',1000000000,1000000000,980005400,'PT. Bumindo Konsultindo','PT. MERANTAU MANDIRI',990000000,C0
6134011,'Perpustakaan Nasional R.I.',1250000000,1250000000,1226500000,'OLIVIA INDAH','CV PUTRI DELI MANDIRI',1228970000,C0
6134011,'Perpustakaan Nasional R.I.',1250000000,1250000000,1226500000,'OLIVIA INDAH','CV. SOPINRO MAJU',1232500000,C0
6135011,'Perpustakaan Nasional R.I.',1050000000,1050000000,1042162000,'PT.COMPLUS SISTEM SOLUSI','CV. KARYA PUTRI MANDIRI',1048120700,C0
6135011,'Perpustakaan Nasional R.I.',1050000000,1050000000,1042162000,'PT.COMPLUS SISTEM SOLUSI','PT. HIT PENTABENUA',1046574100,C0
6137011,'LPSE Kementerian Keuangan Kepulauan Riau',466755000,466755000,434990000,'Binakarya Sukses Mandiri','CV. ANUGERAH PRATAMA',430975000,C0
6137011,'LPSE Kementerian Keuangan Kepulauan Riau',466755000,466755000,434990000,'Binakarya Sukses Mandiri','CV. TRI CAKRA',445959000,C0
6138011,'LPSE Kementerian Keuangan Jawa Tengah',1589272000,1545630000,1545620000,'CV. RAHMATIKA','CV. WIDYA UTAMA',1581002000,C0
6141011,'LPSE Kementerian Keuangan Ambon',1250000,1137000,1062195,'PT. DWI PONGGO SETO','PT. Bangun Jaya Maluku',1114138,C0
6141011,'LPSE Kementerian Keuangan Ambon',1250000,1137000,1062195,'PT. DWI PONGGO SETO','PT. BUMI CENDRAWASIH PERMAI',1102899,C0
6141011,'LPSE Kementerian Keuangan Ambon',1250000,1137000,1062195,'PT. DWI PONGGO SETO','PT. Pedoman Karya',1102640,C0
6141011,'LPSE Kementerian Keuangan Ambon',1250000,1137000,1062195,'PT. DWI PONGGO SETO','PT. POLARIS JAYA SAKTI',1094788,C0
6142011,'LPSE Kementerian Keuangan Sumatera Selatan',250000,217123,1779674000,'CV Ridho Lestari','CV. ADI GUNA PUTRA',1927597000,C0
6142011,'LPSE Kementerian Keuangan Sumatera Selatan',250000,217123,1779674000,'CV Ridho Lestari','CV. KARYA INDAH INDONESIA',2142598000,C0
6142011,'LPSE Kementerian Keuangan Sumatera Selatan',250000,217123,1779674000,'CV Ridho Lestari','CV.ELDYRA REKAYASA ARSITEK',1915674600,C0
6142011,'LPSE Kementerian Keuangan Sumatera Selatan',250000,217123,1779674000,'CV Ridho Lestari','CV.INTEGRAL ASIA',1989000000,C0
6142011,'LPSE Kementerian Keuangan Sumatera Selatan',250000,217123,1779674000,'CV Ridho Lestari','PT. Cahayamurni Artha Langgeng',1878546000,C0
6143011,'LPSE Kementerian Keuangan Nusa Tenggara Barat',158928000,157785000,120890000,'PT. Polindo Jasa Utama','CV. MECOSUPRIN KREASI',128661000,C0
6143011,'LPSE Kementerian Keuangan Nusa Tenggara Barat',158928000,157785000,120890000,'PT. Polindo Jasa Utama','UD. SASTRA GUNA',146795000,C0
6144011,'Direktorat Jenderal Pajak',225000000,225000000,165000000,'CV. GRAHA PERTIWI','cv. jasa artha',185900000,C0
6149011,'LPSE Kementerian Keuangan Jawa Tengah',400000000,400000000,339202000,'CV. KALINGGA RAYA','CV. Eka Marga',355666000,C0
6150011,'LPSE Kementerian Keuangan Wilayah Sulawesi Selatan',135800000,132825000,89023000,'HARAPAN CIPTA RAYA','CV. MEGATAMA BUANA',109000000,C0
6150011,'LPSE Kementerian Keuangan Wilayah Sulawesi Selatan',135800000,132825000,89023000,'HARAPAN CIPTA RAYA','CV. SENTRA MELINDO',112926000,C0
6150011,'LPSE Kementerian Keuangan Wilayah Sulawesi Selatan',135800000,132825000,89023000,'HARAPAN CIPTA RAYA','CV.MWGA RIZQA PRATAMA',123750000,C0
6151011,'Istana Kepresidenan Bogor',500000000,499153000,436320000,'PUTRA GUNUNGCV','CV. bogor raya indah',438000000,C0
6151011,'Istana Kepresidenan Bogor',500000000,499153000,436320000,'PUTRA GUNUNGCV','CV. SEJATI',440904000,C0
6156011,'Lembaga Sandi Negara',1664984000,1626009000,0,'PT. Maxitech Utama Indonesia','PT. Taramitra Informatama',1503964000,C0
6158011,'Kementerian Sekretariat Negara',519680000,491562500,0,'PT. QUANTUM HRM INTERNASIONAL','PT. GML Performance Consulting',476052500,C0
6165011,'Badan Pendidikan dan Pelatihan Keuangan',655600000,655600000,510208000,'CV. Tulip Mitra Bersama','CV Prima Karya Sejati',526753000,C0
6165011,'Badan Pendidikan dan Pelatihan Keuangan',655600000,655600000,510208000,'CV. Tulip Mitra Bersama','CV. MUTIARA AMARTA CITRA',534985000,C0
6168011,'LPSE Kementerian Keuangan Jawa Timur',758812,755000,0,'PT. ANEKABANGUN EKA PRATAMA','PT Sparindo Alfa Persada',604122,C0
6168011,'LPSE Kementerian Keuangan Jawa Timur',758812,755000,0,'PT. ANEKABANGUN EKA PRATAMA','PT. KALTACITRA UTAMA',596869,C0
6169011,'Badan Penelitian Dan Pengembangan Kelautan dan Perikanan KKP',1695730000,1695730000,1677500000,'CV. SUKSES MAKMUR BERSAMA','MULIA SETIA HATI',1688500000,C0
6171011,'Perpustakaan Nasional R.I.',960000000,959287000,946900000,'CV. CAHAYA SENTOSA','CV. IRWAN PERDANA',947300000,C0
6171011,'Perpustakaan Nasional R.I.',960000000,959287000,946900000,'CV. CAHAYA SENTOSA','CV. ROMA',948000000,C0
